up_events,ip,down_events,key
"1474044862156,1474044862372,1474044862620,1474044862804,1474044863052,1474044863268,1474044863428,1474044863636",128.118.134.6,"1474044862068,1474044862276,1474044862564,1474044862724,1474044862988,1474044863196,1474044863340,1474044863556",4539221549252608
"1474082808976,1474082809128,1474082809288,1474082809432,1474082809624,1474082809748,1474082809848,1474082810017",99.9.191.4,"1474082808912,1474082809040,1474082809240,1474082809376,1474082809552,1474082809680,1474082809792,1474082809960",4554914822881280
"1474080221233,1474080221420,1474080221605,1474080221772,1474080222007,1474080222222,1474080222407,1474080222607",173.63.184.135,"1474080221136,1474080221342,1474080221545,1474080221699,1474080221930,1474080222121,1474080222335,1474080222532",4563076334485504
"1474082751704,1474082751903,1474082752120,1474082752347,1474082752723,1474082752927,1474082753137,1474082753489",2602:306:cfca:e330:900:52b2:d039:5f6d,"1474082751526,1474082751748,1474082751999,1474082752168,1474082752561,1474082752755,1474082752982,1474082753317",4588875397726208
"1474082764625,1474082764769,1474082764953,1474082765081,1474082765248,1474082765352,1474082765512,1474082765704",99.9.191.4,"1474082764553,1474082764713,1474082764897,1474082765025,1474082765193,1474082765296,1474082765448,1474082765640",4593519062679552
"1474082102042,1474082102173,1474082102209,1474082102333,1474082102532,1474082102697,1474082102732,1474082102875",108.15.192.232,"1474082101935,1474082102066,1474082102101,1474082102262,1474082102423,1474082102590,1474082102661,1474082102769",4627086379581440
"1474036956023,1474036956253,1474036956436,1474036956617,1474036956905,1474036957091,1474036957289,1474036957500",103.252.25.153,"1474036955904,1474036956085,1474036956347,1474036956529,1474036956742,1474036956984,1474036957138,1474036957289",4644337115725824
"1474067020882,1474067021077,1474067021380,1474067021524,1474067021891,1474067022031,1474067022398,1474067022661",65.24.240.144,"1474067020774,1474067020933,1474067021274,1474067021456,1474067021786,1474067021960,1474067022328,1474067022554",4646823633354752
"1474015688484,1474015688628,1474015688844,1474015689013,1474015689252,1474015689428,1474015689516,1474015689724",115.99.248.170,"1474015688340,1474015688524,1474015688764,1474015688932,1474015689132,1474015689308,1474015689412,1474015689605",4649310150983680
"1474057261802,1474057262026,1474057262490,1474057262930,1474057263362,1474057263602,1474057263730,1474057263954",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057261660,1474057261890,1474057262338,1474057262777,1474057263241,1474057263441,1474057263625,1474057263834",4654283186241536
"1474080140032,1474080140164,1474080140284,1474080140435,1474080140635,1474080140768,1474080140903,1474080141086",173.63.184.135,"1474080139930,1474080140079,1474080140227,1474080140378,1474080140575,1474080140698,1474080140846,1474080141007",4657391668822016
"1474003262627,1474003262689,1474003262810,1474003262960,1474003263163,1474003263201,1474003263516,1474003263753",103.210.204.3,"1474003262505,1474003262592,1474003262762,1474003262881,1474003263039,1474003263132,1474003263428,1474003263660",4659244141903872
"1474032320191,1474032320368,1474032320581,1474032320734,1474032320933,1474032321071,1474032321220,1474032321386",73.81.159.210,"1474032320121,1474032320289,1474032320509,1474032320675,1474032320859,1474032321011,1474032321149,1474032321330",4663887806857216
"1474036941445,1474036941792,1474036941996,1474036942194,1474036942490,1474036942663,1474036942760,1474036942958",103.252.25.153,"1474036941332,1474036941618,1474036941886,1474036942089,1474036942334,1474036942568,1474036942631,1474036942791",4664229256757248
"1474036976451,1474036976665,1474036976839,1474036977052,1474036977438,1474036977537,1474036977731,1474036977872",103.252.25.153,"1474036976306,1474036976498,1474036976743,1474036976917,1474036977277,1474036977417,1474036977553,1474036977731",4669151557713920
"1474036958073,1474036958304,1474036958506,1474036958722,1474036959033,1474036959541,1474036959735,1474036959933",103.252.25.153,"1474036957948,1474036958135,1474036958382,1474036958584,1474036958816,1474036959456,1474036959557,1474036959735",4674151168081920
"1474032455029,1474032455061,1474032455085,1474032455277,1474032455597,1474032455629,1474032455637,1474032455829",173.2.225.234,"1474032454772,1474032454925,1474032454973,1474032455149,1474032455365,1474032455460,1474032455524,1474032455733",4679086353940480
"1474032309045,1474032309257,1474032309475,1474032309644,1474032309868,1474032310107,1474032310285,1474032310453",73.81.159.210,"1474032308974,1474032309186,1474032309398,1474032309587,1474032309800,1474032310026,1474032310201,1474032310394",4687586899525632
"1474047689517,1474047689646,1474047689785,1474047689960,1474047690173,1474047690251,1474047690313,1474047690510",173.19.149.111,"1474047689405,1474047689499,1474047689641,1474047689840,1474047690039,1474047690122,1474047690207,1474047690391",4690910667341824
"1474032298492,1474032298858,1474032299134,1474032299328,1474032299654,1474032299875,1474032300070,1474032300243",73.81.159.210,"1474032298436,1474032298773,1474032299077,1474032299259,1474032299562,1474032299795,1474032299984,1474032300180",4697455123759104
"1474057220467,1474057220611,1474057220747,1474057220987,1474057221443,1474057221539,1474057221667,1474057221915",2601:589:8202:9914:a5cb:9a24:fa07:2a8d,"1474057220338,1474057220475,1474057220659,1474057220827,1474057221259,1474057221403,1474057221547,1474057221779",4707299725672448
"1474035641311,1474035641583,1474035641798,1474035642007,1474035642326,1474035642567,1474035642743,1474035642983",69.15.253.50,"1474035641183,1474035641423,1474035641695,1474035641887,1474035642183,1474035642439,1474035642623,1474035642831",4720078595555328
"1474003269593,1474003269693,1474003269837,1474003269997,1474003270215,1474003270249,1474003270656,1474003270883",103.210.204.3,"1474003269513,1474003269587,1474003269766,1474003269905,1474003270084,1474003270183,1474003270576,1474003270807",4722539880251392
"1474029802434,1474029802626,1474029802826,1474029803002,1474029803218,1474029803306,1474029803426,1474029803922",199.90.35.12,"1474029802354,1474029802546,1474029802762,1474029802914,1474029803114,1474029803218,1474029803338,1474029803842",4729000584806400
"1474029806098,1474029806258,1474029806450,1474029806626,1474029806834,1474029806930,1474029807066,1474029807402",199.90.35.12,"1474029806018,1474029806186,1474029806386,1474029806546,1474029806738,1474029806834,1474029806954,1474029807314",4730836683325440
